Month,Hour,Day Type,Load [kWh]
8,9,4,
8,10,4,
8,11,4,6.412654209227183
8,12,4,7.331026173282696
8,13,4,8.490359539617117
8,14,4,10.019499393090067
8,15,4,10.7753281944833
8,16,4,10.083251743223915
8,17,4,10.757145200036378
8,18,4,22.494368354434435
8,19,4,37.69332744790904
8,20,4,50.10240779112999
8,21,4,66.67569395904158
8,22,4,75.17646529592943
8,23,4,72.98124955296014
8,0,4,71.11026608055745
8,1,4,55.35556011722125
8,2,4,36.542204893890634
8,3,4,23.403944316912597
8,4,4,10.644968559834464
8,5,4,8.841258576980369
8,6,4,8.075493830607195
8,7,4,8.150689663863547
8,8,4,11.038433623574958
8,9,5,11.994737767282931
8,10,5,13.7748060755744
8,11,5,15.50100110142186
8,12,5,14.659196619946758
8,13,5,12.603841091615829
8,14,5,12.10223732264131
8,15,5,15.412125929503649
8,16,5,30.108776577520317
8,17,5,49.055016020199545
8,18,5,63.27942116305091
8,19,5,74.51625232977409
8,20,5,82.30535099559796
8,21,5,85.23182899423688
8,22,5,84.49256386045356
8,23,5,80.92364515824784
8,0,5,74.79026866289263
8,1,5,63.93667876778339
8,2,5,54.98800455413378
8,3,5,45.284375112949945
8,4,5,28.724405292889692
8,5,5,21.362146157499666
8,6,5,18.228653971754742
8,7,5,15.209340715918827
8,8,5,15.973850116286643
8,9,6,15.41193008193505
8,10,6,13.975673434550092
8,11,6,13.032098356946511
8,12,6,12.60471075687084
8,13,6,11.587835755858249
8,14,6,13.019342756943782
8,15,6,20.414221822816245
8,16,6,37.48392548135995
8,17,6,56.165795784839105
8,18,6,73.54069880157692
8,19,6,91.99642179080355
8,20,6,102.92341132649854
8,21,6,113.25943934724847
8,22,6,122.55110996246401
8,23,6,124.52335142787291
8,0,6,124.59264392639389
8,1,6,115.81571689046991
8,2,6,100.13984908425832
8,3,6,84.17127134250771
8,4,6,65.11019887162442
8,5,6,52.86992158918517
8,6,6,41.18014726357657
8,7,6,33.09581185123184
8,8,6,26.2375093424593
8,9,0,20.160792220416194
8,10,0,20.86142051710647
8,11,0,21.320526421396245
8,12,0,19.60403243725309
8,13,0,17.83518874311865
8,14,0,17.883024425691104
8,15,0,21.870567546349456
8,16,0,38.28592642376006
8,17,0,50.456326613395646
8,18,0,65.33290136879451
8,19,0,73.80520347109825
8,20,0,77.01282184370956
8,21,0,84.53613213117097
8,22,0,86.14543267775659
8,23,0,85.85866686124972
8,0,0,85.36047946165135
8,1,0,77.07838716111524
8,2,0,62.6201174022088
8,3,0,50.88681733001741
8,4,0,36.51578654974942
8,5,0,25.22625266678795
8,6,0,23.33713698531694
8,7,0,20.34017275547439
8,8,0,15.971335448197966
8,9,1,16.85222398191612
8,10,1,14.420974420674828
8,11,1,14.481287703427341
8,12,1,15.011215077246526
8,13,1,12.884940307184433
8,14,1,16.14000872122032
8,15,1,16.072044915355296
8,16,1,25.161650667606303
8,17,1,35.78113985764886
8,18,1,48.326149458781344
8,19,1,66.69987788643213
8,20,1,76.68829982280077
8,21,1,90.53863571408786
8,22,1,97.63588836696192
8,23,1,100.95519799116651
8,0,1,99.57143791521594
8,1,1,92.10217306765392
8,2,1,74.3291675669357
8,3,1,54.17234505506718
