,Inverter Power (W)
0,72.32331986649459
1,317.6174039814803
2,-31.952892217242756
3,204.6445352089106
4,-127.07087514017866
5,-213.47616029458314
6,-396.846811824248
7,504.31356114562834
8,-52.36283254341052
9,528.6611985710215
10,442.77163806981383
11,648.9047620009604
12,211.79696899126196
13,271.58107605212933
14,968.3177195352112
15,501.69754115733053
16,493.4314009439247
17,-224.69754198690723
18,-62.18116357684519
19,49.93952214598128
20,-217.4874005062423
21,-13.035326144503042
22,30.799792031143387
23,-89.63573510967338
24,-124.07532777939696
25,-445.70333738018854
26,-137.6493752191997
27,169.57871019109643
28,-184.910195062943
29,450.57011544154915
30,334.72543878190857
31,179.01512690389382
32,174.451504715423
33,135.39448380703095
34,-170.06624714113335
35,455.27868173625
36,145.39196444977813
37,286.2717487623022
38,126.6998606122857
39,174.28839461589885
40,186.5758603421209
41,16.230387813495206
42,172.26960158472738
43,164.04539760015857
44,174.36536395044027
45,8.097116811413581
46,-40.577505787525695
47,63.30258653949878
48,-167.15090740434331
49,16.02138204290554
50,56.53198076603081
51,-76.85262865497359
52,75.69072207869189
53,-125.37818181995306
54,-79.88727837431017
55,-411.4478336055329
56,145.89482278891512
57,605.364576963905
58,486.6933614553718
59,463.5557778871823
60,528.8499695816291
61,697.442515912336
62,297.0875534307562
63,128.82945009511945
64,884.9974335189213
65,60.00555211511751
66,-487.7195573251152
67,251.0769682979624
68,69.75767971170337
69,406.898877496545
70,90.44202927257419
71,127.35376777574923
72,499.86009616394364
73,-331.6942869397907
74,-149.00143930667826
75,-258.53136438152853
76,-144.50471897034143
77,85.27435731753748
78,2.7694083105131284
79,-395.91746919013275
80,307.5559704077853
81,-99.08277602674693
82,196.20901879310566
83,779.7308014427527
84,-181.9417030343928
85,294.2956133439002
86,616.7918807414192
87,484.9696724790869
88,677.0919532752955
89,105.93260291733978
90,35.250145206108236
91,-56.30923658148603
92,-113.16131268384137
93,151.18700151171032
94,-390.04041461484445
95,114.44825033254963
96,32.66885527727653
97,206.50942589168645
98,232.1143730281826
99,-593.1793481247591
100,401.94495178993543
101,-146.40954880320837
102,-395.83287355034247
103,-91.75634970536996
104,661.4490433960132
105,842.0010619935465
106,381.3275005741809
107,945.4240933959569
108,834.3791960714382
109,402.3805843671699
110,318.00308444470727
111,550.5291692825117
112,107.26378266766488
113,298.9267205596164
114,-158.330479909663
115,-134.27124809136768
116,-241.40991436426992
117,91.5212382682554
118,508.5507100825725
119,394.16780713884276
120,-70.55031981389654
121,135.5135708644425
122,-105.71969958202219
123,-102.57358070491152
124,115.57424195331221
125,-72.01654943863579
126,-110.03450950894393
127,-112.61737277696521
128,43.270752111779814
129,716.2765702041595
130,493.1368245146674
131,711.5778395908501
132,540.4267951913527
133,499.7978649495656
134,405.31975074925765
135,41.48701652122759
136,-129.18658815801763
137,-294.6271841643327
138,-335.0596022103234
139,37.659279435808365
140,252.2511054447718
141,-66.25011888085938
142,46.76086163026645
143,-83.20505655074962
144,113.36955659497335
145,370.82780799785417
146,-347.9463134501792
147,-162.08152118483466
148,188.97485789404203
149,-505.39407278154755
150,233.03000988013795
151,-42.53017852376529
152,145.1101210126376
153,-320.11507753667644
154,31.717949050887988
155,163.8154905650606
156,452.1037272634161
157,232.71589370954052
158,716.2616136062983
159,365.1252256978018
160,233.11115443409832
161,363.62524093852716
162,505.4046715857849
163,-50.92204037806065
164,655.4659520527404
165,140.76765814244257
166,123.4150932525191
167,625.0102690477942
168,425.23684946574633
169,-141.2263503639757
170,-236.47475712194856
171,-233.20611672231212
172,-158.8866169023936
173,-42.526303929890325
174,120.56289101435331
175,97.04956210229889
176,41.29914279202979
177,-291.0884366233745
178,262.95904809966146
179,154.11520519024083
180,160.76477948250897
181,1124.0430798335515
182,384.45286171717214
183,524.0435107137487
184,105.92943341200908
185,83.93208137147876
186,47.171876639150256
187,-65.97761993167703
188,-236.31076689536354
189,47.84956062960923
190,-437.1984374907972
191,532.4225812160615
192,-148.79141784373562
193,72.51539497681496
194,-54.59847981642123
195,268.2113076085764
196,-48.08710985435874
197,156.48417808053986
198,45.31542086004026
199,-108.451508184634
200,350.6600425537357
201,52.55753620984976
202,146.41569210758814
203,264.6113286850521
204,477.933175990721
205,186.92238405015036
206,543.5067071427521
207,-160.14713418497675
208,247.47566439309787
209,-106.00149863929445
210,28.540426467827682
211,3.6013115355033722
212,-62.846538617372794
213,24.69707274491918
214,-258.07243272533356
215,73.57928840038771
216,-17.616434828770956
217,188.80926383996632
218,-28.952423517893962
219,-7.055325048736054
220,-29.152967954014876
221,362.11564652369145
222,-158.93735721022412
223,45.080953306449786
224,49.80306474810921
225,-30.62462095338464
226,-135.38710436341546
227,-53.75868261300442
228,-270.241904946664
229,712.8004300165193
230,751.7534233476259
231,1.973752359391085
232,254.7523777889776
233,-473.8036280334557
234,-384.6095898993079
235,-154.31051209149445
236,-262.2112652834048
237,423.128850461592
238,131.09063113340278
239,-282.86894573001524
240,89.76017068872959
241,-507.0226723195587
242,56.85070903342913
243,20.723002391056202
244,33.86133245893284
245,8.90849160171921
246,259.5343385377896
247,-101.1387694896652
248,430.2229748061519
249,641.5344955842736
250,817.2485246394923
251,658.8995767186369
252,679.0513401813689
253,568.7975576515419
254,913.8162980239322
255,553.2848155781475
256,562.1981318413264
257,210.64856738758854
258,-283.74658901606284
259,-99.45823000117593
260,-367.5220975347008
261,4.040985577851473
262,-51.110460310546266
263,251.3509973871527
264,62.47404177549579
265,-287.6983991280292
266,-162.96215183646083
267,-109.027679524205
